advertiser_id,product_id,date
KD9PHCBGYFBRI9ET1O9R,g5t6im,2024-05-01
6X20RDH567MX2X3TXYJ7,jv8dnt,2024-05-01
HC26ZE93SA4WWA0BRFM6,v8veni,2024-05-01
SOVPFK3BBWKTQM9HOHWJ,554hhy,2024-05-01
AK81O7W3KGPEN8LABG2N,aaoitl,2024-05-01
5E325T5HYL61QSABVR5V,8bqows,2024-05-01
8C88YB6E8YCGWU07HA7A,of51po,2024-05-01
HC26ZE93SA4WWA0BRFM6,huls8c,2024-05-01
SOVPFK3BBWKTQM9HOHWJ,esl2l9,2024-05-01
LTRZRCI4M19WYVL6Q6L5,m3ul7z,2024-05-01
GXLKAA83238FVRU718EX,daytgy,2024-05-01
Y0W3K7OV6ZLILW96OO3K,0u6oii,2024-05-01
8C88YB6E8YCGWU07HA7A,btxskd,2024-05-01
9Z77N44VDW6KX6VBWJ4X,d17kac,2024-05-01
OY5LNPB5A8FF43ITRZG3,ki04cx,2024-05-01
EN1SA43DTN2LIR8DEW5S,0go6wf,2024-05-01
OY5LNPB5A8FF43ITRZG3,6dvpkl,2024-05-01
LW045DVYSGRD75TK6U54,vh8dhn,2024-05-01
LW045DVYSGRD75TK6U54,dxds5p,2024-05-01
IDOFCO721HTJGDH7332G,42ovrl,2024-05-01
K6Z0X85ZUY0TSF4RCG5J,wsqhat,2024-05-01
SOVPFK3BBWKTQM9HOHWJ,6u9rl2,2024-05-01
K6Z0X85ZUY0TSF4RCG5J,psks23,2024-05-01
9Z77N44VDW6KX6VBWJ4X,k3elej,2024-05-01
1OW4LWJSBJK6E1D9FDH7,x3up52,2024-05-01
2WPF1NXECF3G6NUMWDO7,5z4ycl,2024-05-01
IOBPI63RBJIHI5FB7U9O,k9ziic,2024-05-01
L6WM4665XZVS9MCZRTVI,5ghrra,2024-05-01
8C88YB6E8YCGWU07HA7A,vbuchd,2024-05-01
62FIK8F2YT8JSFDBLEC9,ljemel,2024-05-01
L6WM4665XZVS9MCZRTVI,0i71vh,2024-05-01
1OW4LWJSBJK6E1D9FDH7,89hrk1,2024-05-01
AK81O7W3KGPEN8LABG2N,3w3hsz,2024-05-01
6X20RDH567MX2X3TXYJ7,bfycyb,2024-05-01
IOBPI63RBJIHI5FB7U9O,upc3en,2024-05-01
LTRZRCI4M19WYVL6Q6L5,ok7q5x,2024-05-01
EN1SA43DTN2LIR8DEW5S,v0jz4s,2024-05-01
LW045DVYSGRD75TK6U54,x0wjju,2024-05-01
5E325T5HYL61QSABVR5V,3xv43f,2024-05-01
M0LU6DCI1WILGQBZ6808,itfgm1,2024-05-01
5E325T5HYL61QSABVR5V,y50djg,2024-05-01
03KNVBO915KY2ZPGA57J,xfvco0,2024-05-01
62FIK8F2YT8JSFDBLEC9,qxkllz,2024-05-01
EN1SA43DTN2LIR8DEW5S,nyq54j,2024-05-01
9Z77N44VDW6KX6VBWJ4X,nfk8xi,2024-05-01
Y0W3K7OV6ZLILW96OO3K,ibg027,2024-05-01
8C88YB6E8YCGWU07HA7A,xafrdb,2024-05-01
2WPF1NXECF3G6NUMWDO7,3g09f2,2024-05-01
5E325T5HYL61QSABVR5V,407r2h,2024-05-01
2WPF1NXECF3G6NUMWDO7,036gp0,2024-05-01
L6WM4665XZVS9MCZRTVI,0fpqtd,2024-05-01
8C88YB6E8YCGWU07HA7A,1tfp22,2024-05-01
8C88YB6E8YCGWU07HA7A,m8wxyn,2024-05-01
OY5LNPB5A8FF43ITRZG3,6dvpkl,2024-05-01
IDOFCO721HTJGDH7332G,7822f9,2024-05-01
OAGTYWN8WFC997VLDJH7,ul4yso,2024-05-01
K6Z0X85ZUY0TSF4RCG5J,mnv64m,2024-05-01
LTRZRCI4M19WYVL6Q6L5,btcn5b,2024-05-01
9Z77N44VDW6KX6VBWJ4X,ptgms2,2024-05-01
OY5LNPB5A8FF43ITRZG3,88z194,2024-05-01
OY5LNPB5A8FF43ITRZG3,n84erz,2024-05-01
LW045DVYSGRD75TK6U54,b3zc3r,2024-05-01
K6Z0X85ZUY0TSF4RCG5J,fa6za8,2024-05-01
GXLKAA83238FVRU718EX,0uc36x,2024-05-01
KD9PHCBGYFBRI9ET1O9R,15d7a1,2024-05-01
LTRZRCI4M19WYVL6Q6L5,ofe7b6,2024-05-01
EN1SA43DTN2LIR8DEW5S,0r2akv,2024-05-01
5E325T5HYL61QSABVR5V,8vrc4w,2024-05-01
OY5LNPB5A8FF43ITRZG3,8zpa1w,2024-05-01
6X20RDH567MX2X3TXYJ7,ldnkzz,2024-05-01
EN1SA43DTN2LIR8DEW5S,g279xo,2024-05-01
Y0W3K7OV6ZLILW96OO3K,4kf1dz,2024-05-01
LTRZRCI4M19WYVL6Q6L5,w1mbae,2024-05-01
K6Z0X85ZUY0TSF4RCG5J,ajpwoh,2024-05-01
Y0W3K7OV6ZLILW96OO3K,4s6v43,2024-05-01
OY5LNPB5A8FF43ITRZG3,63wodr,2024-05-01
M0LU6DCI1WILGQBZ6808,vptxdj,2024-05-01
62FIK8F2YT8JSFDBLEC9,6344i7,2024-05-01
1OW4LWJSBJK6E1D9FDH7,gsp7v2,2024-05-01
P41C5HK4P2G5GFRMT6ZA,56evh4,2024-05-01
1OW4LWJSBJK6E1D9FDH7,k51fdu,2024-05-01
6X20RDH567MX2X3TXYJ7,8o3zrz,2024-05-01
LTRZRCI4M19WYVL6Q6L5,oyneka,2024-05-01
L6WM4665XZVS9MCZRTVI,m1j9cl,2024-05-01
M0LU6DCI1WILGQBZ6808,rkflz3,2024-05-01
SOVPFK3BBWKTQM9HOHWJ,azc9jb,2024-05-01
HC26ZE93SA4WWA0BRFM6,0r79tp,2024-05-01
K6Z0X85ZUY0TSF4RCG5J,u4cciw,2024-05-01
9Z77N44VDW6KX6VBWJ4X,n5k3nx,2024-05-01
